"path"	"group"	"extension"	"bytes"	"loc"	"nonblank"
"crates/exotic-protocol/src/frame.rs"	"crates_rust"	".rs"	"16551"	"441"	"401"
"crates/exotic-protocol/src/lib.rs"	"crates_rust"	".rs"	"1637"	"29"	"27"
"crates/exotic-protocol/src/message.rs"	"crates_rust"	".rs"	"38373"	"778"	"737"
"crates/exotic-protocol/src/message/tests.rs"	"standalone_tests"	".rs"	"26611"	"740"	"700"
"crates/exotic-protocol/src/stderr_log.rs"	"crates_rust"	".rs"	"3128"	"78"	"71"
"crates/exotic-workers/ai-worker/Cargo.toml"	"configuration"	".toml"	"2224"	"41"	"37"
"crates/exotic-workers/ai-worker/src/batch.rs"	"crates_rust"	".rs"	"26833"	"619"	"587"
"crates/exotic-workers/ai-worker/src/main.rs"	"crates_rust"	".rs"	"35510"	"807"	"770"
"crates/exotic-workers/ai-worker/src/ocr.rs"	"crates_rust"	".rs"	"19942"	"460"	"418"
"crates/exotic-workers/ai-worker/src/session.rs"	"crates_rust"	".rs"	"16351"	"420"	"387"
"crates/exotic-workers/enhance-worker/Cargo.toml"	"configuration"	".toml"	"1651"	"33"	"30"
"crates/exotic-workers/enhance-worker/src/main.rs"	"crates_rust"	".rs"	"26188"	"631"	"596"
"crates/exotic-workers/enhance-worker/src/run.rs"	"crates_rust"	".rs"	"13129"	"355"	"328"
"crates/exotic-workers/enhance-worker/src/session.rs"	"crates_rust"	".rs"	"16843"	"402"	"372"
"crates/exotic-workers/psd-probe/Cargo.lock"	"other"	".lock"	"3759"	"147"	"130"
"crates/exotic-workers/psd-probe/Cargo.toml"	"configuration"	".toml"	"1209"	"25"	"21"
"crates/exotic-workers/psd-probe/src/main.rs"	"dev_probes"	".rs"	"12170"	"322"	"298"
"crates/exotic-workers/psd-worker/Cargo.lock"	"other"	".lock"	"5456"	"218"	"193"
"crates/exotic-workers/psd-worker/Cargo.toml"	"configuration"	".toml"	"1745"	"32"	"28"
"crates/exotic-workers/psd-worker/src/decode.rs"	"crates_rust"	".rs"	"13827"	"335"	"306"
"crates/exotic-workers/psd-worker/src/main.rs"	"crates_rust"	".rs"	"12407"	"302"	"285"
"crates/exotic-workers/raw-probe/Cargo.lock"	"other"	".lock"	"15296"	"593"	"527"
"crates/exotic-workers/raw-probe/Cargo.toml"	"configuration"	".toml"	"1339"	"29"	"25"
"crates/exotic-workers/raw-probe/src/main.rs"	"dev_probes"	".rs"	"5884"	"142"	"131"
"crates/exotic-workers/raw-worker/Cargo.lock"	"other"	".lock"	"18582"	"724"	"643"
"crates/exotic-workers/raw-worker/Cargo.toml"	"configuration"	".toml"	"2087"	"38"	"33"
"crates/exotic-workers/raw-worker/src/decode.rs"	"crates_rust"	".rs"	"8355"	"214"	"195"
"crates/exotic-workers/raw-worker/src/main.rs"	"crates_rust"	".rs"	"12379"	"302"	"285"
"crates/exotic-workers/video-worker/Cargo.toml"	"configuration"	".toml"	"2254"	"49"	"44"
"crates/exotic-workers/video-worker/src/error.rs"	"crates_rust"	".rs"	"6028"	"144"	"133"
"crates/exotic-workers/video-worker/src/ffrun.rs"	"crates_rust"	".rs"	"13663"	"330"	"301"
"crates/exotic-workers/video-worker/src/frames.rs"	"crates_rust"	".rs"	"15896"	"430"	"400"
"crates/exotic-workers/video-worker/src/job.rs"	"crates_rust"	".rs"	"4547"	"102"	"94"
"crates/exotic-workers/video-worker/src/main.rs"	"crates_rust"	".rs"	"21920"	"557"	"533"
"crates/exotic-workers/video-worker/src/probe.rs"	"crates_rust"	".rs"	"14386"	"394"	"363"
"crates/exotic-workers/video-worker/src/progress.rs"	"crates_rust"	".rs"	"13961"	"338"	"311"
"crates/exotic-workers/video-worker/src/remux.rs"	"crates_rust"	".rs"	"6734"	"203"	"187"
"crates/exotic-workers/video-worker/src/session.rs"	"crates_rust"	".rs"	"12494"	"340"	"313"
"crates/exotic-workers/video-worker/src/transcode.rs"	"crates_rust"	".rs"	"12796"	"378"	"354"
"crates/exotic-workers/video-worker/tests/e2e_ffmpeg.rs"	"standalone_tests"	".rs"	"17020"	"451"	"425"
"crates/scrollery-ai-core/Cargo.toml"	"configuration"	".toml"	"3151"	"58"	"50"
"crates/scrollery-ai-core/src/clip.rs"	"crates_rust"	".rs"	"37709"	"794"	"721"
"crates/scrollery-ai-core/src/decoded.rs"	"crates_rust"	".rs"	"926"	"19"	"18"
"crates/scrollery-ai-core/src/embedding.rs"	"crates_rust"	".rs"	"1276"	"34"	"31"
"crates/scrollery-ai-core/src/engine.rs"	"crates_rust"	".rs"	"35270"	"765"	"702"
"crates/scrollery-ai-core/src/enhance/chain.rs"	"crates_rust"	".rs"	"16219"	"428"	"400"
"crates/scrollery-ai-core/src/enhance/mod.rs"	"crates_rust"	".rs"	"2695"	"80"	"70"
"crates/scrollery-ai-core/src/enhance/tiling.rs"	"crates_rust"	".rs"	"9187"	"240"	"222"
"crates/scrollery-ai-core/src/enhance_profile.rs"	"crates_rust"	".rs"	"8008"	"223"	"210"
"crates/scrollery-ai-core/src/error.rs"	"crates_rust"	".rs"	"1642"	"39"	"33"
"crates/scrollery-ai-core/src/face.rs"	"crates_rust"	".rs"	"30346"	"732"	"672"
"crates/scrollery-ai-core/src/face_profile.rs"	"crates_rust"	".rs"	"13893"	"255"	"237"
"crates/scrollery-ai-core/src/face_types.rs"	"crates_rust"	".rs"	"1256"	"27"	"25"
"crates/scrollery-ai-core/src/lib.rs"	"crates_rust"	".rs"	"2642"	"51"	"48"
"crates/scrollery-ai-core/src/ocr/cls.rs"	"crates_rust"	".rs"	"3620"	"101"	"92"
"crates/scrollery-ai-core/src/ocr/det.rs"	"crates_rust"	".rs"	"17043"	"457"	"431"
"crates/scrollery-ai-core/src/ocr/dict.rs"	"crates_rust"	".rs"	"4847"	"141"	"125"
"crates/scrollery-ai-core/src/ocr/geometry.rs"	"crates_rust"	".rs"	"3217"	"92"	"83"
"crates/scrollery-ai-core/src/ocr/mod.rs"	"crates_rust"	".rs"	"5789"	"161"	"147"
"crates/scrollery-ai-core/src/ocr/rec.rs"	"crates_rust"	".rs"	"5695"	"163"	"151"
"crates/scrollery-ai-core/src/ocr_profile.rs"	"crates_rust"	".rs"	"7916"	"176"	"160"
"crates/scrollery-ai-core/src/profile.rs"	"crates_rust"	".rs"	"13486"	"306"	"283"
"crates/scrollery-ai-core/src/provider.rs"	"crates_rust"	".rs"	"3418"	"116"	"106"
"crates/scrollery-ai-core/tests/fixtures/ocr/README.md"	"other"	".md"	"1689"	"24"	"19"
"crates/scrollery-ai-core/tests/ocr_golden.rs"	"standalone_tests"	".rs"	"4838"	"134"	"125"
"crates/scrollery-exotic-trust/Cargo.toml"	"configuration"	".toml"	"1672"	"36"	"32"
"crates/scrollery-exotic-trust/build.rs"	"crates_rust"	".rs"	"4041"	"78"	"72"
"crates/scrollery-exotic-trust/resources/exotic-keyset.json"	"configuration"	".json"	"1608"	"38"	"38"
"crates/scrollery-exotic-trust/src/crypto.rs"	"crates_rust"	".rs"	"25706"	"671"	"626"
"crates/scrollery-exotic-trust/src/lib.rs"	"crates_rust"	".rs"	"1548"	"29"	"26"
"crates/scrollery-exotic-trust/src/license.rs"	"crates_rust"	".rs"	"14853"	"392"	"368"
"crates/scrollery-plugin-api/Cargo.toml"	"configuration"	".toml"	"1076"	"23"	"20"
"crates/scrollery-plugin-api/src/lib.rs"	"crates_rust"	".rs"	"9793"	"214"	"198"
"docs/README.md"	"documentation"	".md"	"7501"	"78"	"56"
"docs/archive/2026-06-29-卷监听与原生卷ID-scoping.md"	"documentation"	".md"	"6849"	"83"	"66"
"docs/archive/2026-06-29-缺失检测落地方案.md"	"documentation"	".md"	"15632"	"187"	"142"
"docs/archive/2026-07-09-文件树与时间轴DOM膨胀治理方案.md"	"documentation"	".md"	"42124"	"437"	"336"
"docs/archive/2026-07-10-画廊滚动飞掠卡顿分析.md"	"documentation"	".md"	"9090"	"84"	"56"
"docs/archive/2026-07-12-CLAUDE.md中文对照存档.md"	"documentation"	".md"	"15191"	"110"	"90"
"docs/archive/2026-07-12-工作记忆治理体系开源工具化方案.md"	"documentation"	".md"	"81091"	"652"	"499"
"docs/archive/2026-07-13-新立项视角产品与架构全面Review-chatgpt-5.6-sol.md"	"documentation"	".md"	"75366"	"1306"	"908"
"docs/archive/2026-07-13-新立项视角产品与架构全面Review.md"	"documentation"	".md"	"50661"	"429"	"307"
"docs/archive/2026-08-30-去重功能全局实现方案-物理清理旧案.md"	"documentation"	".md"	"23578"	"375"	"267"
"docs/archive/architecture_notes.md"	"documentation"	".md"	"4461"	"75"	"60"
"docs/archive/claude_session_import_2026-06-17.md"	"documentation"	".md"	"15327"	"299"	"209"
"docs/archive/exotic_format_plugin_part1_foundation.md"	"documentation"	".md"	"19101"	"370"	"296"
"docs/archive/exotic_format_plugin_part2_pipeline_worker.md"	"documentation"	".md"	"19676"	"329"	"267"
"docs/archive/exotic_format_plugin_part3_license_distribution.md"	"documentation"	".md"	"12911"	"225"	"175"
"docs/archive/exotic_format_plugin_part4_frontend_slice_hardening.md"	"documentation"	".md"	"13577"	"226"	"173"
"docs/archive/exotic_format_plugin_plan/exotic-psd-probe-report.md"	"documentation"	".md"	"5891"	"109"	"80"
"docs/archive/exotic_format_plugin_plan/exotic_format_plugin_plan_v3.1_addendum.md"	"documentation"	".md"	"26599"	"531"	"360"
"docs/archive/exotic_format_plugin_plan/exotic_format_plugin_plan_v3.md"	"documentation"	".md"	"15984"	"286"	"219"
"docs/archive/exotic_format_plugin_plan/exotic_format_plugin_v3_part1_foundation.md"	"documentation"	".md"	"16303"	"352"	"268"
"docs/archive/exotic_format_plugin_plan/exotic_format_plugin_v3_part2_pipeline_worker.md"	"documentation"	".md"	"14639"	"329"	"244"
"docs/archive/exotic_format_plugin_plan/exotic_format_plugin_v3_part3_license_distribution.md"	"documentation"	".md"	"14353"	"297"	"225"
"docs/archive/exotic_format_plugin_plan/exotic_format_plugin_v3_part4_frontend_release.md"	"documentation"	".md"	"12919"	"286"	"212"
"docs/archive/exotic_format_plugin_plan_v1.md"	"documentation"	".md"	"39812"	"552"	"417"
"docs/archive/exotic_format_plugin_plan_v2.md"	"documentation"	".md"	"41179"	"428"	"325"
"docs/archive/feature_expansion_plan_v1.md"	"documentation"	".md"	"47119"	"742"	"560"
"docs/archive/implementation_plan_v1.2.md"	"documentation"	".md"	"51740"	"1242"	"965"
"docs/archive/perf_hardening_plan_v2.md"	"documentation"	".md"	"17425"	"227"	"169"
"docs/archive/planning-with-files-使用说明.md"	"documentation"	".md"	"8457"	"143"	"100"
"docs/archive/review_2026-06-27_第七轮终审.md"	"documentation"	".md"	"19659"	"147"	"111"
"docs/archive/review_2026-06-27_第五轮后复审.md"	"documentation"	".md"	"6972"	"79"	"57"
"docs/archive/review_2026-06-27_第六轮独立代码核验.md"	"documentation"	".md"	"11372"	"105"	"81"
"docs/archive/review_2026-06-28_外部专家核验.md"	"documentation"	".md"	"18395"	"128"	"104"
"docs/archive/施工纪律_防幻觉与落盘验证.md"	"documentation"	".md"	"2746"	"29"	"18"
"docs/completed.md"	"documentation"	".md"	"318055"	"1745"	"1173"
"docs/decisions/2026-07-05-R2-7-产品名初筛与改名面盘点.md"	"documentation"	".md"	"16229"	"146"	"109"
"docs/decisions/2026-07-05-R2-7-终选对比一页纸.md"	"documentation"	".md"	"5379"	"61"	"44"
"docs/decisions/2026-07-06-R2-7-Scrollery-FTO-brief.md"	"documentation"	".md"	"10374"	"101"	"81"
"docs/decisions/2026-07-06-R2-7-改名施工计划-Scrollery.md"	"documentation"	".md"	"13553"	"107"	"77"
"docs/decisions/2026-07-06-决策brief-渠道·开源边界·face校验.md"	"documentation"	".md"	"6871"	"88"	"72"
"docs/decisions/2026-07-17-官网纯静态无后端拍板.md"	"documentation"	".md"	"1746"	"29"	"21"
"docs/decisions/2026-07-22-视频播放器架构与交互裁决.md"	"documentation"	".md"	"1737"	"26"	"18"
"docs/decisions/2026-08-18-查看器路由覆盖层呈现裁决.md"	"documentation"	".md"	"1870"	"29"	"21"
"docs/decisions/2026-08-25-决策brief-许可证迁移至-MPL-2.0.md"	"documentation"	".md"	"3834"	"77"	"57"
"docs/decisions/2026-09-12-决策brief-GitHub竞品与开源边界.md"	"documentation"	".md"	"24964"	"265"	"193"
"docs/decisions/2026-09-14-决策brief-AGPL-3.0-only与单独商业授权.md"	"documentation"	".md"	"5244"	"78"	"61"
"docs/designs/2026-07-02-horizontal-gallery-lab.md"	"documentation"	".md"	"14978"	"101"	"76"
"docs/designs/2026-07-06-前端UI优化与多主题系统.md"	"documentation"	".md"	"18189"	"220"	"180"
"docs/designs/2026-07-07-阅读器完善方案.md"	"documentation"	".md"	"61156"	"559"	"421"
"docs/designs/2026-07-08-顶栏重构-自绘标题栏与上下文工具栏.md"	"documentation"	".md"	"70479"	"449"	"366"
"docs/designs/2026-07-09-文件树与时间轴DOM膨胀-独立复核报告v2.md"	"documentation"	".md"	"48394"	"431"	"304"
"docs/designs/2026-07-09-画廊极密网格渲染方案.md"	"documentation"	".md"	"48516"	"383"	"284"
"docs/designs/2026-07-10-plan-docs文档体系整理方案.md"	"documentation"	".md"	"46686"	"425"	"312"
"docs/designs/2026-07-10-时间轴密度带canvas升级方案.md"	"documentation"	".md"	"9693"	"167"	"125"
"docs/designs/2026-07-10-缩略图流水线深审与优化.md"	"documentation"	".md"	"12581"	"132"	"105"
"docs/designs/2026-07-11-前后端分离独立部署可行性调研.md"	"documentation"	".md"	"50137"	"276"	"207"
"docs/designs/2026-07-11-前端UIUX深度审计与重构方案.md"	"documentation"	".md"	"27157"	"498"	"361"
"docs/designs/2026-07-12-工作记忆与文档体系融合评估方案.md"	"documentation"	".md"	"40466"	"312"	"226"
"docs/designs/2026-07-13-SelectionBar合并分离一键切换方案.md"	"documentation"	".md"	"24573"	"202"	"147"
"docs/designs/2026-07-16-queries模块拆分方案.md"	"documentation"	".md"	"31104"	"423"	"317"
"docs/designs/2026-07-16-后端大文件拆分审查与方案.md"	"documentation"	".md"	"26092"	"236"	"174"
"docs/designs/2026-07-16-文件树显示范围与格式筛选.md"	"documentation"	".md"	"25067"	"331"	"232"
"docs/designs/2026-07-19-图片编辑开源包混合升级方案.md"	"documentation"	".md"	"28164"	"249"	"192"
"docs/designs/2026-07-20-日志能力重构方案.md"	"documentation"	".md"	"32898"	"310"	"249"
"docs/designs/2026-08-15-Kun-0.2.28与Scrollery-UI清透感对比分析.md"	"documentation"	".md"	"26077"	"365"	"246"
"docs/designs/2026-08-15-Scrollery清透材质化UI建议方案.md"	"documentation"	".md"	"31361"	"449"	"316"
"docs/designs/2026-08-16-全仓文档门禁47项修订方案.md"	"documentation"	".md"	"9616"	"186"	"132"
"docs/designs/2026-08-24-窗口材质毛玻璃方案.md"	"documentation"	".md"	"24938"	"353"	"286"
"docs/designs/2026-08-30-去重功能全局实现方案.md"	"documentation"	".md"	"7295"	"131"	"95"
"docs/designs/2026-08-31-整体样式重构美化方案.md"	"documentation"	".md"	"28286"	"302"	"221"
"docs/designs/2026-09-02-主画廊重复项浏览方案.md"	"documentation"	".md"	"28730"	"590"	"427"
"docs/designs/2026-09-02-内容去重文件夹优先复核方案.md"	"documentation"	".md"	"22191"	"427"	"312"
"docs/designs/2026-09-06-玻璃模式内容底面修复方案.md"	"documentation"	".md"	"14356"	"174"	"128"
"docs/designs/2026-09-12-Canvas密集缩略图性能分析与优化方案.md"	"documentation"	".md"	"29145"	"236"	"148"
"docs/experience.md"	"documentation"	".md"	"59678"	"430"	"256"
"docs/lines/.gitkeep"	"documentation"	""	"0"	"0"	"0"
"docs/lines/AI-人脸流水线深审.md"	"documentation"	".md"	"267"	"11"	"9"
"docs/lines/AI与人脸流水线根治.md"	"documentation"	".md"	"532"	"11"	"9"
"docs/lines/AI语义搜索栏UI优化.md"	"documentation"	".md"	"431"	"14"	"11"
"docs/lines/CI-基建.md"	"documentation"	".md"	"222"	"11"	"9"
"docs/lines/Canvas快速拖动防闪烁优化.md"	"documentation"	".md"	"294"	"11"	"9"
"docs/lines/Canvas滚动缩略图无感加载优化.md"	"documentation"	".md"	"312"	"11"	"9"
"docs/lines/Canvas缩略图加载渲染性能优化.md"	"documentation"	".md"	"404"	"11"	"9"
"docs/lines/DOM-膨胀治理.md"	"documentation"	".md"	"243"	"11"	"9"
"docs/lines/H-Lab-横向画廊实验(D2).md"	"documentation"	".md"	"279"	"11"	"9"
"docs/lines/OCR文字提取.md"	"documentation"	".md"	"317"	"11"	"9"
"docs/lines/Part4-T16.md"	"documentation"	".md"	"222"	"11"	"9"
"docs/lines/Part4-worker-化.md"	"documentation"	".md"	"243"	"11"	"9"
"docs/lines/Part6-③c-同步管线.md"	"documentation"	".md"	"264"	"11"	"9"
"docs/lines/RAW等格式照片支持.md"	"documentation"	".md"	"426"	"11"	"9"
"docs/lines/Spec15深化-各功能详细工作流.md"	"documentation"	".md"	"502"	"14"	"11"
"docs/lines/UI-多主题系统.md"	"documentation"	".md"	"249"	"11"	"9"
"docs/lines/UIUX-第二阶段整合重构.md"	"documentation"	".md"	"282"	"11"	"9"
"docs/lines/UI加载失败排查.md"	"documentation"	".md"	"403"	"14"	"11"
"docs/lines/WAL膨胀根治与启动积压驯服.md"	"documentation"	".md"	"303"	"11"	"9"
"docs/lines/agent规则激进精简-v2.md"	"documentation"	".md"	"273"	"11"	"9"
"docs/lines/agent规则精简.md"	"documentation"	".md"	"246"	"11"	"9"
"docs/lines/ai-worker发货闭包修复.md"	"documentation"	".md"	"343"	"11"	"9"
"docs/lines/asbuilt-spec.md"	"documentation"	".md"	"220"	"11"	"9"
"docs/lines/canvas设置项生效检查与修复.md"	"documentation"	".md"	"491"	"14"	"11"
"docs/lines/md阅读器巨型文档内存爆炸修复.md"	"documentation"	".md"	"529"	"14"	"11"
"docs/lines/queries-模块拆分.md"	"documentation"	".md"	"255"	"11"	"9"
"docs/lines/refactor_2026.md"	"documentation"	".md"	"234"	"11"	"9"
"docs/lines/span埋点与worker日志汇入.md"	"documentation"	".md"	"452"	"14"	"11"
"docs/lines/worklogs日期前缀修正.md"	"documentation"	".md"	"645"	"11"	"9"
"docs/lines/上线前三功能方案-导出-备份-图片编辑.md"	"documentation"	".md"	"416"	"11"	"9"
"docs/lines/主页Canvas性能优化.md"	"documentation"	".md"	"267"	"11"	"9"
"docs/lines/产品命名-R2-7(FTO-在途).md"	"documentation"	".md"	"282"	"11"	"9"
"docs/lines/产品命名-R2-7.md"	"documentation"	".md"	"246"	"11"	"9"
"docs/lines/仓库架构与流水线全面梳理.md"	"documentation"	".md"	"527"	"13"	"10"
"docs/lines/入库扫描元数据读取性能优化.md"	"documentation"	".md"	"399"	"11"	"9"
"docs/lines/全仓未完成工作梳理.md"	"documentation"	".md"	"430"	"14"	"11"
"docs/lines/全仓注释清理精简.md"	"documentation"	".md"	"435"	"14"	"11"
"docs/lines/全仓深度review与直修.md"	"documentation"	".md"	"478"	"11"	"9"
"docs/lines/全局.md"	"documentation"	".md"	"213"	"11"	"9"
"docs/lines/全局性能面板.md"	"documentation"	".md"	"249"	"11"	"9"
"docs/lines/全景扫描剩余项.md"	"documentation"	".md"	"258"	"11"	"9"
"docs/lines/内容去重全流程审查.md"	"documentation"	".md"	"387"	"11"	"9"
"docs/lines/内容去重冗余清理审查.md"	"documentation"	".md"	"473"	"11"	"9"
"docs/lines/内测发行.md"	"documentation"	".md"	"231"	"11"	"9"
"docs/lines/前后端分离与服务端部署.md"	"documentation"	".md"	"449"	"14"	"11"
"docs/lines/前端动画重构.md"	"documentation"	".md"	"417"	"14"	"11"
"docs/lines/去重功能全局方案.md"	"documentation"	".md"	"851"	"16"	"13"
"docs/lines/后端大文件拆分审查.md"	"documentation"	".md"	"512"	"14"	"11"
"docs/lines/图片简单编辑施工.md"	"documentation"	".md"	"459"	"14"	"11"
"docs/lines/图片编辑功能升级.md"	"documentation"	".md"	"347"	"11"	"9"
"docs/lines/备份测试硬化专项.md"	"documentation"	".md"	"267"	"11"	"9"
"docs/lines/多专家新立项Review综合-chatgpt-5.6-sol.md"	"documentation"	".md"	"333"	"11"	"9"
"docs/lines/多专家新立项产品与架构综合评审.md"	"documentation"	".md"	"330"	"11"	"9"
"docs/lines/大图浏览器无闪切图与错误态修复.md"	"documentation"	".md"	"547"	"14"	"11"
"docs/lines/完成可收口任务核实与回写.md"	"documentation"	".md"	"490"	"14"	"11"
"docs/lines/完成度审查.md"	"documentation"	".md"	"240"	"11"	"9"
"docs/lines/官网.md"	"documentation"	".md"	"213"	"11"	"9"
"docs/lines/官网重设计.md"	"documentation"	".md"	"240"	"11"	"9"
"docs/lines/审查9项修复分批施工.md"	"documentation"	".md"	"432"	"14"	"11"
"docs/lines/审查修复.md"	"documentation"	".md"	"231"	"11"	"9"
"docs/lines/审查应用配置重构.md"	"documentation"	".md"	"411"	"14"	"11"
"docs/lines/工作记忆与文档体系融合方案深度Review.md"	"documentation"	".md"	"348"	"11"	"9"
"docs/lines/布局策略-T20.md"	"documentation"	".md"	"243"	"11"	"9"
"docs/lines/应用配置重构-外置配置文件与热应用.md"	"documentation"	".md"	"552"	"14"	"11"
"docs/lines/底栏重构-内容页动态文件信息.md"	"documentation"	".md"	"505"	"14"	"11"
"docs/lines/开发者手册.md"	"documentation"	".md"	"240"	"11"	"9"
"docs/lines/扫描线P1修复与tmp吸收.md"	"documentation"	".md"	"534"	"11"	"9"
"docs/lines/批量15项问题清单.md"	"documentation"	".md"	"673"	"17"	"13"
"docs/lines/数据备份与恢复施工.md"	"documentation"	".md"	"453"	"14"	"11"
"docs/lines/文件树与顶栏格式筛选方案.md"	"documentation"	".md"	"475"	"14"	"11"
"docs/lines/文件树显示范围与格式筛选.md"	"documentation"	".md"	"554"	"14"	"11"
"docs/lines/文件树画廊定位唯一性修复.md"	"documentation"	".md"	"303"	"11"	"9"
"docs/lines/文档治理.md"	"documentation"	".md"	"215"	"11"	"9"
"docs/lines/文档缩略图叠加标题与章节.md"	"documentation"	".md"	"303"	"11"	"9"
"docs/lines/新立项视角全面Review-chatgpt-5.6-sol.md"	"documentation"	".md"	"324"	"11"	"9"
"docs/lines/新立项视角全面Review.md"	"documentation"	".md"	"276"	"11"	"9"
"docs/lines/无人值守清账波.md"	"documentation"	".md"	"400"	"14"	"11"
"docs/lines/日志能力重构.md"	"documentation"	".md"	"617"	"14"	"11"
"docs/lines/未完成工作梳理与free社区版最短路径.md"	"documentation"	".md"	"578"	"14"	"11"
"docs/lines/本地目录改名picasa-next至scrollery.md"	"documentation"	".md"	"318"	"11"	"9"
"docs/lines/树内文件行打开与拖拽.md"	"documentation"	".md"	"285"	"11"	"9"
"docs/lines/根文件夹显隐.md"	"documentation"	".md"	"377"	"14"	"11"
"docs/lines/渠道与开源边界.md"	"documentation"	".md"	"258"	"11"	"9"
"docs/lines/生产信任根-D1.md"	"documentation"	".md"	"249"	"11"	"9"
"docs/lines/画廊大图首次打开慢与闪烁修复.md"	"documentation"	".md"	"745"	"15"	"12"
"docs/lines/画廊性能.md"	"documentation"	".md"	"231"	"11"	"9"
"docs/lines/画廊性能时间轴.md"	"documentation"	".md"	"258"	"11"	"9"
"docs/lines/画廊无缝minimap轴.md"	"documentation"	".md"	"394"	"14"	"11"
"docs/lines/画廊窗口重排防闪.md"	"documentation"	".md"	"316"	"11"	"9"
"docs/lines/画廊轴minimap解耦与按钮迁底栏.md"	"documentation"	".md"	"486"	"14"	"11"
"docs/lines/画廊重排滚动位置恢复.md"	"documentation"	".md"	"441"	"14"	"11"
"docs/lines/窗口化沉浸模式-非全屏自动隐藏顶栏底栏.md"	"documentation"	".md"	"566"	"14"	"11"
"docs/lines/统一文件树与画廊目录排序.md"	"documentation"	".md"	"303"	"11"	"9"
"docs/lines/缩略图流水线.md"	"documentation"	".md"	"249"	"11"	"9"
"docs/lines/缩略图进度刷新丢失与视频派生独立控制.md"	"documentation"	".md"	"571"	"14"	"11"
"docs/lines/自定义ICC与色域切换.md"	"documentation"	".md"	"336"	"11"	"9"
"docs/lines/虚拟滚动-T16.md"	"documentation"	".md"	"243"	"11"	"9"
"docs/lines/融合方案Phase3索引新鲜度门.md"	"documentation"	".md"	"303"	"11"	"9"
"docs/lines/规范优化审查.md"	"documentation"	".md"	"249"	"11"	"9"
"docs/lines/视频封面关键帧提取性能审查.md"	"documentation"	".md"	"516"	"14"	"11"
"docs/lines/视频播放器重构.md"	"documentation"	".md"	"564"	"11"	"9"
"docs/lines/视频格式扩展子系统.md"	"documentation"	".md"	"273"	"11"	"9"
"docs/lines/许可证迁移至-MPL-2.0.md"	"documentation"	".md"	"746"	"16"	"13"
"docs/lines/质量审查待修池.md"	"documentation"	".md"	"258"	"11"	"9"
